,Title,overview,popularity,release_date,runtime,vote_average
196,Babes in Toyland,"Ollie Dee and Stanley Dum try to borrow money from their employer, the toymaker, to pay off the mortgage on Mother Peep's shoe and keep it and Little Bo Peep from the clutches of the evil Barnaby. When that fails, they trick Barnaby into marrying Stanley Dum instead of Bo Peep. Enraged, Barnaby unleashes the bogeymen from their caverns to destroy Toyland.",7.768271,1934-12-14,73.0,6.6
197,Babes in Toyland,Everyone's favorite nursery rhyme characters come magically and musically to life in this animated adventure based on the classic holiday tale.,0.197168,1997-01-01,74.0,4.8
198,Babysitter Wanted,"When she takes a job babysitting a young boy (Kai Caster) for a night at his family's remote farmhouse, sweet college co-ed Angie Albright (Sarah Thompson) becomes the target of a scar-covered creep making mysterious phone calls and prowling outside the windows. Angie gets the drop on the would-be killer, but quickly discovers that her nightmare has just begun.",8.262337,2009-02-06,93.0,5.3
199,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,1985-07-03,116.0,8.0
200,Back to the Future Part II,"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",13.689855,1989-11-20,108.0,7.4
201,Back to the Future Part III,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",13.043999,1990-05-25,118.0,7.1
202,Backdraft,They say a blast of flames can take a life ... and hide a secret. But now firemen brothers Brian and Stephen McCaffrey are battling each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.,9.883727,1991-05-24,137.0,6.4
203,Bad Boys II,"Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing Marcus’ sexy sister.",8.191436,2003-07-18,147.0,6.3
204,Bad Girls Go to Hell,"After housewife Ellen is raped by the janitor she kills him and hits the road. She travels to the Big City where she is repeatedly used and abused. And when she finally finds a safe place to live her landlady's son turns out to be a detective, which threatens her newly found identity and peace of mind.",0.534341,1965-12-24,65.0,5.1
205,Badlands,"Dramatization of the Starkweather-Fugate killing spree of the 1950s, in which a teenage girl and her twenty-something boyfriend slaughtered her entire family and several others in the Dakota badlands.",16.641976,1973-10-15,94.0,7.5
206,Ballo a tre passi,Four separate-but-interconnected stories - one for each season - about life in Sardinia.,0.119376,2003-08-31,107.0,7.5
207,Bambi Meets Godzilla,"Bambi is nibbling the grass, unaware of the upcoming encounter with Godzilla. Who will win when they finally meet?",2.032918,1969-01-01,2.0,6.5
208,Bandido!,"American arms dealer Kennedy hopes to make a killing by selling to the ""regulares"" in the 1916 Mexican revolution. American mercenary Wilson favors the rebel faction headed by Escobar, and they plot to hijack Kennedy's arms; but Wilson also has his eye on Kennedy's wife. Raids, counter-raids, and escapes follow in a veritable hail of bullets.",0.47236,1956-09-01,92.0,5.0
209,Bandyta,Bastard depicts the distress of needy children and the love of a nurse and a hard boiled criminal. A film from Polish director Maciej Dejczer and actor Til Schweiger’s first international film.,0.707491,1997-01-01,102.0,6.3
210,Barda,"A group of young high society friends, aged between 18 and 25, are gathered at a friend's bar that they regularly frequent for the night. But when they finish of their last beer and prepare to head home they find themselves held captive at gunpoint by five strangers. With their mouths, hands and feet tied, they are tortured, raped and murdered until the next morning. The gang who have captured them have no clear reason, they just want to punish these young people for everything left incomplete in their lives.",1.959976,2007-01-01,95.0,5.8
211,Barking Water,"Frankie is dying. Irene hasn't forgiven him. And they are racing against time to find their way home. Frankie needs help and Irene is the one he turns to. He must go home one last time. And, like so many times before, Irene is extending herself beyond her common sense. The two set out on a journey that becomes more than getting home; confronting the past, love, understanding, and self discovery. Barking Water is a tale of great love that looks at what brings us all together. It's a tale of home...and what it takes to get there.",0.410945,2009-01-17,85.0,7.0
212,Barry Lyndon,"In the Eighteenth Century, in a small village in Ireland, Redmond Barry is a young farm boy in love with his cousin Nora Brady. When Nora engages to the British Captain John Quin, Barry challenges him for a duel of pistols. He wins and escapes to Dublin, but is robbed on the road. Without any other alternative, Barry joins the British Army to fight in the Seven Years War.",14.003467,1975-12-18,184.0,7.7
213,Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,8.387026,1991-08-01,116.0,7.4
214,Basic Instinct 2,"Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.",15.321902,2006-03-29,114.0,4.6
215,Basic Training,"Melinda comes to Washington DC to visit her friend Debbie, and to find a job in government, where she hopes to do her part to make it better. She gets a lower echelon administrative position at the Pentagon, and finds things pretty slack. Her boss seems to be more interested in getting into her pants than trying to find lost data on the Russians. Melinda resists his advances and begins working her way up in the Pentagon, finding subtle ways of getting her policies implemented by manipulating the slovenly males that populate the Pentagon, including finding a way to defuse the mounting conflict with the Russians",0.439659,1985-11-01,88.0,6.5
216,Basket Case 2,"Having eluded the authorities after a series of grisly murders, the pair find sanctuary at the palatial home of Granny Ruth, an eccentric philanthropist who rallies the cause of ""Unique Individuals"". But even amongst ""friends"" the pair soon find themselves having to confront their murderous past.",4.052825,1990-03-02,90.0,5.6
217,Basket Case 3,"Henelotter up's the ante in the final part of his trilogy by introducing a new member to the family; the potentially monstrous fruit of hideously deformed Belial's loins. With the pair still enjoying relative anonymity and comfort in their new found home (presided over by Granny Roth), things however take a downward turn on a trip to the Georgia Clinic of Uncle Hal, which leads to an encounter with an especially nasty redneck sheriff and his similarly blinkered band of merry men.",2.452019,1992-02-01,90.0,4.8
218,Basquiat,"Director Julian Schnabel illustrates the portrait of his friend, the first African-American Pop artist Jean-Michel Basquiat who unfortunately died at a young age and just as he was beginning to make a name for himself in the art world. Alongside the biography of Basquiat are the artists and the art scene from early 1980’s New York.",4.797674,1996-08-09,108.0,6.6
219,Batman,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.",19.10673,1989-06-23,126.0,7.0
220,Batman,The Dynamic Duo faces four super-villains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,8.991532,1966-07-30,105.0,6.1
221,Batman & Robin,"Along with crime-fighting partner Robin and new recruit Batgirl, Batman battles the dual threat of frosty genius Mr. Freeze and homicidal horticulturalist Poison Ivy. Freeze plans to put Gotham City on ice, while Ivy tries to drive a wedge between the dynamic duo.",17.038824,1997-06-20,125.0,4.2
222,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",28.505341,2005-06-10,140.0,7.5
223,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",13.321354,1995-06-16,121.0,5.2
224,Batman Returns,"Having defeated the Joker, Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Selina Kyle, Max's secretary, is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name, all the time deciding just what must be done with the Catwoman.",15.001681,1992-06-19,126.0,6.6
225,Bean,"Bean works as a caretaker at Britain's formidable Royal National Gallery, and his bosses want to fire him because he sleeps at work all the time, but can't because the chairman of the gallery's board defends him. They send him to USA, to the small Los Angeles art gallery instead, where he'll have to officiate at the opening of the greatest US picture ever (called ""Whistler's Mother"").",12.799853,1997-07-03,85.0,6.3
226,Beat,The story of writer William Seward Burroughs and his wife.,0.758451,2000-01-29,93.0,4.9
227,Beautiful Boxer,"Based on the true life story of a Thai who wishes to have a sex change operation to become a woman. to pay for this he enters the brutal world of Thai boxing, un-nerving his opponents by performing a makeup application ritual before each fight.",1.722765,2004-04-29,117.0,6.2
228,Beauty Is Embarrassing,"Raised in the Tennessee mountains, Wayne White started his career as a cartoonist in NYC. He quickly found success as one of the creators of the Pee-wee's Playhouse TV show which soon led to more work designing some of the most arresting and iconic images in pop culture. Recently his word paintings featuring pithy and and often sarcastic text statements finely crafted onto vintage landscape paintings have made him a darling of the fine art world. The movie chronicles the vaulted highs and crushing lows of an artist struggling to find peace and balance between his professional work and his personal art. This is especially complicated for a man who struggles with the virtues he most often mocks in his art...Vanity, ego and fame.",0.790239,2012-09-07,88.0,8.2
229,Beavis and Butt-Head Do America,"Mike Judge's slacker duo, Beavis and Butt-Head, wake to discover their TV has been stolen. Their search for a new one takes them on a clueless adventure across America where they manage to accidentally become America's most wanted.",8.855685,1996-12-15,81.0,6.5
230,Because I Said So,"In an effort to prevent family history from repeating itself, meddlesome mom Daphne Wilder attempts to set up her youngest daughter, Milly, with Mr. Right. Meanwhile, her other daughters try to keep their mom's good intentions under control.",14.764607,2007-02-02,102.0,5.8
231,Becoming Jane,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.,7.829737,2007-03-02,120.0,6.9
232,Bedazzled,"Elliot Richardson, suicidal techno geek, is given seven wishes to turn his life around when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil must put her own little twist on each his fantasies.",8.781588,2000-10-19,93.0,5.6
233,Bedazzled,"Stanley is infatuated with Margaret, the statuesque waitress who works with him. He meets George Spiggott AKA the devil and sells his soul for 7 wishes, which Stanley uses to try and make Margaret his own first as an intellectual, then as a rock star, then as a wealthy industrialist. As each fails, he becomes more aware of how empty his life had been and how much more he has to live for.",8.491505,1967-10-30,103.0,6.3
234,Beetlejuice,"Thanks to an untimely demise via drowning, a young couple end up as poltergeists in their New England farmhouse, where they fail to meet the challenge of scaring away the insufferable new owners, who want to make drastic changes. In desperation, the undead newlyweds turn to an expert frightmeister, but he's got a diabolical agenda of his own.",10.627364,1988-02-29,92.0,7.1
235,Before Night Falls,"Spanning several decades, this powerful biopic offers a glimpse into the life of famed Cuban poet and novelist Reinaldo Arenas, an artist who was vilified for his homosexuality in Fidel Castro's Cuba.",3.933132,2000-09-03,134.0,6.6
236,Before Stonewall,"New York City's Stonewall Inn is regarded by many as the site of gay and lesbian liberation since it was at this bar that drag queens fought back against police June 27-28, 1969. This documentary uses extensive archival film, movie clips and personal recollections to construct an audiovisual history of the gay community before the Stonewall riots.",0.083594,1984-09-15,87.0,6.5
237,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,1995-01-27,105.0,7.7
238,Before Sunset,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,7.048957,2004-02-10,80.0,7.6
239,Begotten,"Begotten is the creation myth brought to life, the story of no less than the violent death of God and the (re)birth of nature on a barren earth.",2.592052,1990-04-30,78.0,5.0
240,Being John Malkovich,"Spike Jonze’s debut feature film is a love story mix of comedy and fantasy. The story is about an unsuccessful puppeteer named Craig, who one day at work finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters it’s mad and controlling world of overtaking another human body.",11.416319,1999-09-30,112.0,7.3
241,"Bell, Book and Candle","A modern-day witch likes her neighbor but despises his fiancee, so she enchants him to love her instead... only to fall in love with him for real.",6.441891,1958-12-25,106.0,6.4
242,Beloved Enemy,"Irish rebels launch an uprising against the British occupation of Ireland in the 1920s. One of the rebellion's leaders and a beautiful aristocratic Englishwoman meet and, despite the enormous class, cultural, political and social differences between them, fall in love.",0.668008,1936-12-25,90.0,6.3
243,Ben-Hur,"Ben-Hur is a 1959 epic film directed by William Wyler, the third film version of Civil War vet Lew Wallace's 1880 novel Ben-Hur: A Tale of the Christ. It premiered at Loew's State Theatre in New York City on November 18, 1959. The movie's reputation as a classic is primarily based on two spectacular action sequences:  the great chariot race and a Roman naval battle, along with lavish production values and strong performances.  The plot of Ben Hur revolves around a Jewish prince who is betrayed and sent into slavery by a Roman friend and how he regains his freedom and comes back for revenge. However, instead he finds redemption in Christ, the theme is ultimately about being saved in the Christian sense.  The film went on to win a record of eleven Academy Awards, including Best Picture and Best Actor (Charlton Heston as Ben Hur). This record-setting Oscars sweep has since been equaled by Titanic in 1998 and The Lord of the Rings: The Return of the King in 2004, but never broken.",14.319743,1959-12-26,212.0,7.5
244,Ben-Hur,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,11.51021,2016-08-17,125.0,5.3
245,Bend It Like Beckham,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.",6.262677,2002-04-11,112.0,6.2
246,Benny & Joon,A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton.,10.597116,1993-04-16,98.0,6.9
247,Beowulf,"Beowulf is a wanderer who learns about a man-eating creature called Grendel which comes in the night to devour warriors trapped at the Outpost. The Outpost is ruled by Hrothgar. He has a daughter, whose husband may have been murdered by the Outpost's master of arms",7.745765,1999-04-01,95.0,4.4
248,Beowulf,"6th-century Scandinavian warrior, Beowulf embarks on a mission to slay the manlike ogre Grendel, a descendant of Cain.",9.951195,2007-11-05,115.0,5.5
249,Beowulf & Grendel,"The blood-soaked tale of a Norse warrior's battle against the great and murderous troll, Grendel. Heads will roll. Out of allegiance to the King Hrothgar, the much respected Lord of the Danes, Beowulf leads a troop of warriors across the sea to rid a village of the marauding monster.",5.606454,2005-09-14,103.0,6.1
250,Berkeley Square,A young American man is transported back to London in the time of the American Revolution and meets his ancestors.,0.269518,1933-09-15,84.0,3.0
251,Best Seller,"Hit man Cleve approaches writer/cop Dennis about a story for his next book: How Cleve made a living, working for one of the most powerful politicians in the country. To get the story right, they travel around the country to gather statements and evidence, while strong forces use any means they can to keep the story untold.",2.173823,1987-09-25,95.0,6.3
252,Best Worst Movie,"A look at the making of the film Troll 2 (1990) and its journey from being crowned the ""worst film of all time"" to a cherished cult classic.",0.98166,2009-01-01,93.0,7.4
253,Betty Blowtorch: And Her Amazing True Life Adventures,"For two years, filmmaker and music video director Anthony Scarpa followed the all-girl punk rock band Betty Blowtorch, documenting their ferocious sound and dangerously low-tech pyrotechnic shows, unaware of the turmoil and tragedy that he will ultimately capture. From their near rise to the top of the major labels, to their ultimate sad end, this critically-acclaimed rock n roll tragedy features the band Betty Blowtorch, as well as other rockers such as Duff McKagan (Guns N Roses, Velvet Revolver), Vanilla Ice, Dez Cadena (Black Flag), Jennifer Finch (L7), Kevin Baldes (LiT), and many others.",0.00425,2003-06-11,98.0,0.0
254,Beverly Hills Cop II,"Detroit cop, Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin – and the chase is on.",9.200336,1987-05-18,100.0,6.1
255,Beverly Hills Cop III,"Back in sunny southern California and on the trail of two murderers, Axel Foley again teams up with LA cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss.",11.787784,1994-05-24,104.0,5.5
256,Beyond Rangoon,"Patricia Arquette stars as American widow Laura Bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s, in this fictionalized drama based on actual events. Bowman initially left San Francisco with her sister (Frances McDormand) in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.",2.04189,1995-05-24,100.0,6.4
257,Beyond Tomorrow,Three ghosts try to help two young lovers whom they knew when alive.,0.69219,1940-01-01,84.0,6.2
258,Big,"A young boy, Josh Baskin makes a wish at a carnival machine to be big. He wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman. What will he find out about this strange world?",9.562292,1988-06-03,104.0,6.9
259,Big Bad Mama,"Mama and daughters get forced by circumstances into bootlegging and bank robbing, and travel across the country trailed by the law.",4.204629,1974-09-19,83.0,6.4
260,Big Fish,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",14.739983,2003-12-25,125.0,7.6
261,Big Girls Don't Cry... They Get Even,"A girl fed up with her quirky, dysfunctional family runs away from home, causing all of them to spend time with each other.",0.466287,1992-05-08,96.0,4.6
262,Big River Man,"Follows Martin Strel as he attempts to cover 3,375 miles of the Amazon River in what is being billed as the world's longest swim.",0.309604,2009-01-15,100.0,7.8
263,Big Time,"Bringing his unique sense of humor to this bizarre and original piece of moviemaking, Tom Waits takes the audience through a musical journey with his jazzy, quirky, bluesy tunes presented as you would never, ever, ever expect.",1e-06,1988-09-15,87.0,5.8
264,Big Trouble,"The story of how a mysterious suitcase brings together, and changes, the lives of a divorced dad, an unhappy housewife, two hitmen, a pair of street thugs, two love struck teens, two FBI men and a psychedelic toad. Based on Pulitzer Prize-winning humorist Dave Barry's best-selling first novel, ""Big Trouble.""",5.761051,2002-04-05,85.0,6.3
265,Big Trouble,"Leonard Hoffman is an insurance salesman struggling to make ends meet. The fact that he has triplet sons who all want to go to Yale isn't making things any easier. Blanche Rickey is also worried about money; her husband is a millionaire with a weak heart, and she worries that he'll blow through all his cash before he finally dies. When Blanche meets Leonard, she devises a murderous plan that she claims will fix both their problems.",0.329531,1986-05-30,93.0,6.3
266,Big Trouble in Little China,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",11.109932,1986-05-30,99.0,7.1
267,Bill & Ted's Bogus Journey,"Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living.",7.256293,1991-07-19,98.0,5.9
268,Bill & Ted's Excellent Adventure,"In the small town of San Dimas, a few miles away from Los Angeles, there are two nearly brain dead teenage boys going by the names of Bill S, Preston ESQ. and Ted Theodore Logan, they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately, they are still in high school and on the verge of failing out of their school as well, and if they do not pass their upcoming history report, they will be separated as a result of Ted's father sending him to military school. But, what Bill and Ted do not know is that they must stay together to save the future. So, a man from the future named Rufus came to help them pass their report. So, both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together.",15.109261,1989-02-17,90.0,6.7
269,Bill Burr: Let It Go,"It’s always been a dream of mine to do a show at the Fillmore. The name itself is synonymous with legendary performances. Countless iconic musicians and comedians have been on that stage. To be a part of that history was something I’ll never forget. As much as I was trying to keep my head together before the show, I couldn’t help but feel like a tourist or just some random dude who won a contest. LET IT GO represents the culmination of material I developed on the road from 2008-2009. As always thanks to everyone who came out to my shows, laughed at the funny stuff and stared during the bombing. I hope you enjoy it. – Bill Burr",1.296848,2010-09-18,65.0,8.0
270,Billion Dollar Brain,A former British spy stumbles into in a plot to overthrow Communism with the help of a supercomputer. But who is working for whom?,2.129835,1967-11-02,111.0,5.3
271,Billy Budd,"Billy is an innocent, naive seaman in the British Navy in 1797. When the ship's sadistic master-at-arms is murdered, Billy is accused and tried.",3.557657,1962-11-12,119.0,7.8
272,Billy Elliot,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",12.158424,2000-05-18,110.0,7.4
273,Bird on a Wire,"A FBI informant has kept his new identity secret for 15 years, now an old flame has recognised him and the bad guys are back for revenge.",8.300805,1990-05-18,110.0,5.9
274,Bird on a Wire,"Tony Palmer's film, thought lost for almost 40 years, about Leonard Cohen's 1972 European tour, has now been pieced together from almost 3,000 fragments and restored to its former glory. A unique record of a major poet and singer/songwriter at the height of his powers.",1e-06,1974-07-05,105.0,6.0
275,Birdman of Alcatraz,"After killing a prison guard, convict Robert Stroud faces life imprisonment in solitary confinement. Driven nearly mad by loneliness and despair, Stroud's life gains new meaning when he happens upon a helpless baby sparrow in the exercise yard and nurses it back to health. Despite having only a third grade education, Stroud goes on to become a renowned ornithologist and achieves a greater sense of freedom and purpose behind bars than most people find in the outside world.",4.471515,1962-07-03,147.0,7.0
276,Birthday Girl,"A shy bank clerk orders a Russian mail order bride, and finds his life turned upside down.",6.271279,2001-09-06,93.0,6.1
277,Black Rain,"Two New York cops get involved in a gang war between members of the Yakuza, the Japanese Mafia. They arrest one of their killers and are ordered to escort him back to Japan. In Japan, however, he manages to escape. As they try to track him down, they get deeper and deeper into the Japanese Mafia scene and they have to learn that they can only win by playing the game the Japanese way.",6.973408,1989-09-22,125.0,6.2
278,Blackmail,"Alice's boyfriend Frank is a Scotland Yard detective who seems more interested in police work than in her. When she agrees to go out with another man, he attacks her and she defends herself and kills him. When the body is discovered, Frank is assigned to the case. He quickly discovers that Alice is the killer, but so has someone else, and they are threatening blackmail.",3.956703,1929-06-30,84.0,6.8
279,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,1982-06-25,117.0,7.9
280,Blind Date,"When bachelor Walter Davis (Bruce Willis) is set up with his sister-in-law's pretty cousin, Nadia Gates (Kim Basinger), a seemingly average blind date turns into a chaotic night on the town. Walter's brother, Ted (Phil Hartman), tells him not to let Nadia drink alcohol, but he dismisses the warning, and her behavior gets increasingly wild. Walter and Nadia's numerous incidents are made even worse as her former lover David (John Larroquette) relentlessly follows them around town.",6.696292,1987-03-27,95.0,5.6
281,Blind Date,"A man goes blind when remembering his lost girlfriend, but the doctors can't find anything wrong with his eyes. They fit him with an experimental device which allows him to see with the aid of a computer interface and brain electrodes. Meanwhile, a taxi driver is taking young women up to their apartments, giving them gas, and performing a little fatal amateur surgery on them. Their paths inevitably converge, and the blind man must try to stop the psychopath.",0.028517,1984-06-01,95.0,0.0
282,Blind Date,"Affected by tragedy, a married couple decide to role play a blind date.",1.236072,2007-05-16,80.0,4.5
283,Blind Date,"Dutch painter Jan-Van Rooyer hurries to keep a rendezvous with Jacqueline Cousteau, an elegant, sophisticated Frenchwoman, slightly his elder, whose relationship with him had turned from art student into one of love trysts. He arrives and is confronted by Detective Police Inspector Morgan who accuses him of having murdered Jacqueline. Morgan listens sceptically to the dazed denials of Van Rooyer as he tells the story of his relationship with the murdered woman. Morgan, after hearing the story, realizes that the mystery has deepened, and it becomes more complicated when the Assistant Commissioner, Sir Brian Lewis, explains that Jacqueline was not married but was being kept by Sir Howard Fenton, a high-ranking diplomat whose names must be kept out of the case.",0.308031,1959-08-01,95.0,6.6
284,Blindness,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.",7.462378,2008-05-14,121.0,6.4
285,Blindsight,"Six blind Tibetan teenagers climb the Lhakpa-Ri peak of Mount Everest, led by seven-summit blind mountain-climber Erik Weihenmayer.",0.086952,2006-09-11,104.0,8.0
286,Blondie Goes Latin,"The 8th film in the Blondie series  - Blondie Goes Latin.  Mr. Dithers invites the Bumstead's on a South American cruise.  Somehow Dagwood winds up as the female drummer in the ship's band, while Penny Singleton gets to show off her Broadway background in some lively musical numbers.",0.411367,1941-02-27,72.0,8.0
287,Blondie Has Servant Trouble,"Few of the popular Blondie films strayed as far off the tried-and-true Blondie formula as ""Blondie Has Servant Trouble"" (#6 in the series).  Things get under way when Blondie Bumstead (Penny Singleton) demands that her husband Dagwood (Arthur Lake) request a raise from his boss Mr. Dithers (Jonathan Hale), so that Blondie can afford to hire a maid.  But Dithers has no time for any salary disputes: his construction firm is currently stuck with an unsaleable old mansion, which is rumored to be haunted.  To disprove this theory, Dithers asks the Bumstead family to spend a night in the crumbling old house, throwing a retinue of servants into the bargain.  Homicidal maniacs? The Bumsteads in mortal danger?  But even a done 1000 times 'Haunted House-Homicidal Maniac' storyline somehow works here..  Because  in the end, no matter what, there's always Penny Singleton as ""Blondie"".",0.486412,1940-07-25,72.0,7.7
288,Blondie Knows Best,"Dagwood Bumstead (Arthur Lake) poses as his boss Mr. Dithers (Jonathan Hale) so that a big business deal can be consummated while Dithers avoids nearsighted process server Jim Gray (Shemp Howard). The upshot of all this is that Dagwood ends up in a lunatic asylum, forcing Blondie (Penny Singleton) to come to the rescue. Number 18 in the long running Blondie series.  Blondie Knows Best was writer/director Edward Bernds' first entry in the long-running ""Blondie"" series, and arguably his funniest.  Bernds was a big fan of comedian Shemp Howard (whom he'd directed in several Columbia 2-reelers) and accordingly he gives Shemp free reign in his scenes, resulting in some hystericially funny moments.  Blondie Knows Best represented Jonathan Hale's farewell to the series; in the next entry, Blondie's Big Moment, he would be replaced by Jerome Cowan as Mr. Radcliffe",0.001908,1946-10-17,69.0,0.0
289,Blondie Plays Cupid,"The Bumstead family is off to see relatives in the country when Blondie runs into Charlie and Millie, an eloping couple needing her help.",0.56455,1940-10-31,72.0,7.0
290,Blondie of the Follies,"New York City tenement dwelling neighbors Blondie and Lottie are best friends. When Lottie makes the cast of a big Broadway show, she arranges for Blondie to join the cast as well. But the friendship goes awry when Lottie's sweetheart, wealthy Larry Belmont, falls for Blondie.",0.582278,1932-09-01,91.0,7.5
291,Blondie on a Budget,"Dagwood wants to join the trout club and Blondie wants a fur coat. Jealousy reigns when Dag's old girlfriend Joan shows up, but nothing else matters when a drawing at the movie theatre provides money for the coat.",0.44415,1940-02-29,72.0,6.5
292,Blood Diamond,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",12.477872,2006-12-07,143.0,7.4
293,Blood River,"A psychological thriller following a successful young married couple on their way to visit family. After a blowout on a desolate stretch of highway in Nevada, they head to the next town only to discover it long abandoned. Here they meet a mysterious stranger who seems to know decidedly more than he is sharing.",0.739832,2009-01-01,104.0,5.1
294,Blood Ties,"Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",14.934555,2013-08-22,128.0,6.0
295,Blood Ties,"Carpathian Americans are just like any other expatriate organization, they enjoy family get together, and share business opportunities. There is just one minor difference, the Carpathian Americans seem to have a predilection for drinking human blood.",0.452682,1991-05-27,84.0,6.0
